name.plant,IsChildTaxonOf,name.plant.agg,target.species,target.species.agg
Phleum pratense agg.,Phleum,Phleum pratense agg.,1,1
Phragmites australis,Phragmites,Phragmites australis,0,0
Phyteuma orbiculare s. l.,Phyteuma,Phyteuma orbiculare s. l.,1,1
Picea abies,Picea,Picea abies,0,0
Picris hieracioides s. l.,Picris,Picris hieracioides s. l.,0,0
Pimpinella major,Pimpinella,Pimpinella major,1,1
Pimpinella saxifraga,Pimpinella saxifraga agg.,Pimpinella saxifraga agg.,1,1
Pinus sylvestris,Pinus,Pinus sylvestris,0,0
Plantago lanceolata,Plantago,Plantago lanceolata,1,1
Plantago major agg.,Plantago,Plantago major agg.,1,1
Plantago media,Plantago,Plantago media,1,1
Plantago uliginosa,Plantago major agg.,Plantago major agg.,0,1
Platanthera bifolia s. l.,Platanthera,Platanthera bifolia s. l.,1,1
Platanthera chlorantha,Platanthera,Platanthera chlorantha,1,1
Poa angustifolia,Poa pratensis agg.,Poa pratensis agg.,1,1
Poa annua,Poa annua agg.,Poa annua agg.,0,0
Poa bulbosa,Poa,Poa bulbosa,1,1
Poa humilis,Poa pratensis agg.,Poa pratensis agg.,0,1
Poa pratensis agg.,Poa,Poa pratensis agg.,1,1
Poa pratensis s. str.,Poa pratensis agg.,Poa pratensis agg.,1,1
Poa trivialis s. l.,Poa,Poa trivialis s. l.,1,1
Polygala amarella,Polygala amara agg.,Polygala amara agg.,1,1
Polygala comosa,Polygala,Polygala comosa,1,1
Polygala vulgaris s. l.,Polygala,Polygala vulgaris s. l.,1,1
Polygonatum odoratum,Polygonatum,Polygonatum odoratum,1,1
Polygonum aviculare s. l.,Polygonum aviculare agg.,Polygonum aviculare agg.,0,0
Potentilla anserina,Potentilla,Potentilla anserina,1,1
Potentilla argentea s. l.,Potentilla,Potentilla argentea s. l.,1,1
Potentilla erecta,Potentilla,Potentilla erecta,1,1
Potentilla heptaphylla,Potentilla,Potentilla heptaphylla,1,1
Potentilla incana,Potentilla verna agg.,Potentilla verna agg.,1,1
